album	year	num	title	lyrics
Tales From The Kingdom Of Fife	2013	1	Anstruther's Dark Prophecy	The prophecy is written... Dundee will fall!\n
Tales From The Kingdom Of Fife	2013	2	The Unicorn Invasion Of Dundee	They came with the first light of dawn\nsetting their sights on Dundee\nled by the sorcerer Zargothrax\nslaying all people he sees\nthey ride to war on once noble beasts\ncorrupted by wizard spell\nthe unicorns used to be good\nnow they are forced to serve hell\nDown from the mountains\nand across the river Tay\nan army of undead unicorns\nare riding into the fray\nFireballs and lighting are raining from the sky\nchaos and bloodshed while all the people die\nin this epic battle begins the final war\ntragedy will strike this day, prepare thee for\nthe unicorn invasion of Dundee\nThe townpeople had little hope\nthey were not ready for war\nfireballs make everybody die\nand buildings collapse to the floor\nthe beautiful princess was raped\nand taken prison with cry\nAngus McFife swears a mighty oath\n"I will make Zargothrax die!"\nThe forces of darkness\nare invading proud Dundee\nthere must find a hero\nto save its destiny\n
Tales From The Kingdom Of Fife	2013	3	Angus Mcfife	He is the prince of the land of Fife\nNoble and true with a heart of steel\nNow it is lost vengeance shall be his\nAngus McFife is his name\nAcross the wasteland, I ride upon swift steed\nBehind me lies the burning ruins of Dundee\nNo turning back now, my journey lies ahead\nI won't give up until the sorcerer is dead\nA raging hero with a destiny of steel\nWith glory overcomes a mighty quest concealed\nHe is the prince of the land of Fife\nNoble and true with a heart of steel\nNow it is lost vengeance shall be his\nAngus McFife is his name\nIn ancient castle, frozen for all time\nInside the dungeons my beloved waits to die\nRide fast for vengeance, but I must find a way\nThe force of unicorns makes Zargothrax fight great\nPower of the sorcerer to great to be controlloed\nGlenrothes trees will heal the torment in my soul\nHe is the prince of the land of Fife\nNoble and true with a heart of steel\nNow it is lost vengeance shall be his\nAngus McFife is his name\n
Tales From The Kingdom Of Fife	2013	4	Quest For The Hammer Of Glory	Ride! To the farway mountains\nFight! Many goblins and trolls\nQuest! For the hammer of glory\nThe snow keeps on falling\nas I ride to the north\nI set out on a journey so far\nhave been on my way thenceforth\nmy armour and weapons\nnow covered with ice\nmany battle have they seen\nbut onwards I must strive\nTo defeat the foes of Dundee\nI must have a weapon of ultimate steel\nRide! To the farway mountains\nFight! Many goblins and trolls\nQuest! For the hammer of glory\nto wield the power to slay all your foes\nMy mission is simple\nmy purpose is clear\nin a cave on a mountain up high\nthere lies a mystical shrine\nif a warrior quests there\nwith a heart pure of steel\nthe gods will grant unto him\na weapon that shall be revealed\nThe Hammer of Glory it's called\npassed down by heroes from centuries old\nThe shrine lies before me now\nthe hammer in sight\nI raise it up to the heavens above\nand I hail the king\n
Tales From The Kingdom Of Fife	2013	5	Magic Dragon	Riding my steel into faraway lands\nsearching for dragon to claim back the throne\ninto the forests of deepest Strathclyde\nwhere time no centurieshas been foretold\nA mighty warrior\nquesting to valleys unknown\nA village of wizards revealed my the way\nthey saw it by searching a magical ball\nenchanted chamber with mirror and fire\ndefeat it and dragon would be the reward\nthe be the chosen one\na hero must rise to the rest\nDemon attacked me but then it was slain\nthe dragon appeared and a battle was fight\nI spoke from the words of a powerful scroll\nand magical dragon became now allied\nMighty and glorios\nhe flies through the emerald skies\nMagic dragon\ncasting a spell on the mountains\ncovering wizards in glory\nflying through majestic skies\nsearching for mighty powers\nto defeat ultimate evil\nride on the wings of a dragon\nflying through majestic skies\nquesting for the steel\n
Tales From The Kingdom Of Fife	2013	6	Silent Tears Of Frozen Princess	Sometimes I seem to drown in woe\nbut there is a hope\nglooming inside my heart alone\nwhen I think of you\nremembering bygone days\nand your silvery laugh\nit will not resound again\ncaught in a shroud of ice\nBut I will not cease\nseeking for you\nFrozen princess in this land of fears\nyour mighty kingdom has fallen\ni see the glitter of your silent tears\nafar int he wuthering dark\nEvery night I feel you're near\nvivid memories\nthey dance within my reach\nand still are so far from here\nyour angelic grace shall be ablaze\nwith lights again\nmy hammer my break the spell\nbefore the last hope dies\nMy path carries on\nseeking for you\nMy forces conspire\nto bring back the warmth of your smile\nmy heart set on fire\nit will burn down your prison of cold\nit's burning for you\n
Tales From The Kingdom Of Fife	2013	7	Amulet Of Justice	Now I am mounting dragon, girdled by a golden gleam\nto dearch for the last artefact I saw in my dream\na thousand legends twine around the mystery\nhow to find the periapt that setsthe spellbound free\nPower of the universe\nwill guide me the way\nmy hammer I hold up high\nso I proclaim\nAmulet of Justice\nyour destiny awaits\nin a land now reigned in shadow\nby a wizard full of hate\ni will ride across the highland\ni will sail across the seas\nthe one and only hope for Fife\nyour mystic legacy\nAt the bottom of Loch Rannoch there is lying deep below\na necklace made of pure silk, with a gem as white as snow\ni dive into the dark to avert calamity\nbrought by evil wizard over beloved Dundee\nPower of the universe\nwill guide me the way\nthrough worlds man has never seen\nlone and arcane\nPowers of the universe\nhave shown me the way\nnow I have the amulet\nthe kingdom I'll save\nQuest complete!\n
Tales From The Kingdom Of Fife	2013	8	Hail To Crail	Far to the east, where the land meets the sea\nthere lies a majestic town\ncrail is it's name, shrouded in fame\njewel in Fife's noble crown\nhere, every day, the warriors train\nin the art of epic fights\nriding on eagles, questing so true\na legion of powerful knights\nEmblazoned 'cross the sky\nhere the kingdom cry\nHAIL! TO CRAIL!\nmightiest warriors in the land\nHAIL! TO CRAIL!\nready to fight with a sword in hand\nfighting battles every day\nthis is why we say\nHAIL! TO CRAIL!\nIn the battle of Cowdenbeath\ntheir steel did win the day\nknights of Crail with banners high\nriding hard into the fray\nonce, in the siege of far-off Dunkeld\ndefeat of the town was nigh\nbut then came the knights, the warriors of Crail\nand all of their foes did die\nThey've never lost a fight\nso we proclaim tonight\n
Tales From The Kingdom Of Fife	2013	9	Beneath Cowdenbeath	Tell me traveller, do you know what lurks beneath... Cowdenbeath?\n
Tales From The Kingdom Of Fife	2013	10	The Epic Rage Of Furious Thunder	Dundee! Mighty city on the\nbanks of the silv'ry Tay\nyour sacrifice will always be\nremembered that fateful day\nbut now that the time has\ncome to regain our fallen pride\nwe march to war with an army\nof eagles by our side\noh Dundee\nSwiftly across the sapphire sky\nthe magic dragon flies\nAngus McFife is atop his back\nhear the battlecry!\ndown below, the knights of Crail\nhave rallied to the cause\nthe hammer of glory is their guide\na great majestic force\nThe final battle has begun\nfor freedom and Dundee\nOh brave chivistic rainbow\ngive me strength og angelic might!\nFar from the north a hero comes\nhis armour made from wolf\nhe heard the call the defend his king\nthe barbarian warrior of Unst!\nnow at the side of lord McFife\nacross the land they ride\nhe know the way to the cidatel\nwhere Zargothrax must hide\nmany evils guard the way\nthe castles has great might\nIn the epic rage of furious thunder\nlegends create their tales\nwhen the twilight calls and the dark lord falls\nour glory will prevail\nThe tower is high and mighty\nwe cannot climb the walls\nwe must find our way through the secret\ntunnels of the dwarves\nThrough the ancient tunnels, the waariors make way\ninto a darkened cavern beneath the fortress great\nled by a hermit, Relathor his name\nthe way to the castle his secret to betray\nMighty unicorn, that flies in the sky\ntouch the universe with your wings and hail the king\nNow in the fields of Dunfermline\nan epic war is fight\nthe knights of Crail make evil die\nbring glory for the light\nmeanwhileinside the citadel\nMcFife has found the way\nfaceing to face with Zargothrax\nand single combat waged\nThe evil wizard falls to doom\nand drowns in liquid ice\nIn the epic rage of furious thunder\nlegends create their tales\nwhen the twilight calls and the dark lord falls\nour glory will prevail\n
