album	year	num	title	lyrics
Iron Maiden	1980	1	Prowler	Walking through the city, looking oh so pretty,\nI've just got to find my way.\nSee the ladies flashing. All their legs and lashes.\nI've just got to find my way.\nWell you see me crawling through the bushes with it open wide.\nWhat you seeing girl?\nCan't you believe that feeling, can't you believe it,\nCan't you believe your eyes?\nIt's the real thing girl.\nGot me feeling myself and reeling around,\nGot me talking but feel like walking around.\nGot me feeling myself and reeling a...\nGot me talking but nothing's with me...\nGot me feeling myself and reeling around.\n
Iron Maiden	1980	2	Sanctuary	Out of winter came a warhorse of steel\nI've never killed a woman before\nBut I know how it feels\nI know you'd have gone insane\nIf you saw what I saw\nSo now I've got to look for\nSanctuary from the law\nI met up with a stranger last night\nTo keep me alive\nHe spends all his money on gambling\nAnd guns to survive\nI know you'd have gone insane if you saw what I saw\nSo now I've got to look for Sanctuary from the law\nSo give me Sanctuary from the law\nAnd I'll be alright\nJust give me Sanctuary from the law\nAnd love me tonight...tonight\nI know you'd have gone insane if you saw what I saw\nSo now I've got to look for Sanctuary from the law\nI can laugh at the wind\nI can howl at the rain\nDown in the canyon or out on the plains\nI know you'd have gone insane if you saw what I saw\nSo now I've got to look for Sanctuary from the law\n
Iron Maiden	1980	3	Remember Tomorrow	Unchain the colours before my eyes,\nYesterday's sorrows, tomorrow's white lies.\nScan the horizon, the clouds take me higher,\nI shall return from out of fire.\nTears for rememberance, and tears for joy,\nTears for somebody and this lonely boy.\nOut in the madness, the all seeing eye,\nFlickers above us, to light up the sky.\nUnchain the colours before my eyes,\nYesterday's sorrows, tomorrow's white lies.\nScan the horizon, the clouds take me higher,\nI shall return from out of fire.\n
Iron Maiden	1980	4	Running Free	Just sixteen, a pickup truck, out of money, out of luck.\nI've got nowhere to call my own, hit the gas, and here I go.\nI'm running free yeah, I'm running free.\nI'm running free yeah, Oh I'm running free.\nSpent the night in an L. A. jail, and listened to the sirens wail.\nThey ain't got a thing on me, I'm running wild, I'm running free.\nPuller here at the Bottle Top, whiskey, dancing, disco hop.\nNow all the boys are after me, and that's the way it's gonna be\n
Iron Maiden	1980	5	Phantom Of The Opera	I've been looking so long for you now you won't get away from my grasp.\nYou've been living so long in hiding in hiding behind that false mask.\nAnd you know and I know that you ain't got long now to last.\nYour looks and your feelings are just the remains of your past.\nYou're standing in the wings, there you wait for the curtain to fall.\nKnowing the terror and holding you have on us all.\nYeah, I know that you're gonna scratch me, maim me and maul.\nYou know I'm helpless from your mesmerising cat call.\nKeep your distance, walk away, don't take his bait.\nDon't you stray, don't fade away.\nWatch your step, he's out to get you, come what may.\nDon't you stray, from the narrow way.\nI'm running and hiding in my dreams you're always there.\nYou're the Phantom of the Opera, you're the devil, you're just out to scare.\nYou damaged my mind and my soul it just floats through the air.\nHaunt me, you taunt me, you torture me back at your lair.\n
Iron Maiden	1980	6	Transylvania	
Iron Maiden	1980	7	Strange World	The only place where you can dream, living here is not what it seems.\nShip of white light in the sky, nobody there to reason why.\nHere I am, I'm not really there, smiling faces ever so rare.\nA let's walk in deepest space, living here just isn't the place.\nStalks of light come from the ground, when I cry there isn't a sound.\nAll my feelings cannot be held, I'm happy in my new strange world.\nShades of green grasses twine, girls drinking plasma wine.\nA look at love, a dream unfolds, living here, you'll never grow old.\nDon't you hear me call? Ooh\n
Iron Maiden	1980	8	Charlotte The Harlot	Giving a swish with your arse in the air, don't you know what they're saying?\nCharlotte you're so refined when you take all the love that they're giving.\nSticking with every man that you find, don't you know what they're after?\nCharlotte you've got your legs in the air, don't you hear all the laughter?\nCharlotte the Harlot show me your legs,\nCharlotte the Harlot take me to bed.\nCharlotte the Harlot let me see blood,\nCharlotte the Harlot let me see love.\nTaking so many men to your room, don't you feel no remorse?\nYou charge them a "fiver", It's only for starters.\nAnd ten for the main course.\nAnd you've got no feelings, they died long ago.\nDon't you care who you let in?\nAnd don't you know you're breaking the law with the service you're giving.\nThere was a time when you left me standing there,\nPicking up pieces of love off the floor.\nWell Charlotte you left me alone in there,\nTo make your ends as a bloody whore.\nWell Charlotte you told me you love me true,\nPicking up pieces of love yesterday.\nWell Charlotte your draws are off color too\n'Cause you're making love all day.\nGiving a swish with your arse in the air, don't you know what they're saying?\nCharlotte you're so refined when you take all the love that they're giving.\nSticking with every man that you find, don't you know what they're after?\nCharlotte you've got your legs in the air, don't you hear all the laughter?\n
Iron Maiden	1980	9	Iron Maiden	Won't you come into my room, I wanna show you all my wares.\nI just want to see your blood, I just want to stand and stare.\nSee the blood begin to flow as it falls upon the floor.\nIron Maiden can't be fought, Iron Maiden can't be sought.\nOh Well, wherever, wherever you are,\nIron Maiden's gonna get you, no matter how far.\nSee the blood flow watching it shed up above my head.\nIron Maiden wants you for dead.\nWon't you come into my room, I wanna show you all my wares.\nI just want to see your blood, I just want to stand and stare.\nSee the blood begin to flow as it falls upon the floor.\nIron Maiden can't be fought, Iron Maiden can't be sought.\n
Running Free	1980	2	Burning Ambition	So you think you can own me, well you'd better just think again\nYou'd better watch your steps now, woman, cause I ain't like those other men\nThere's something burning inside me that makes me want to be free\nAnd when I get these feelings honey, you better keep away from me\nThere's things in life now, baby, that I know I've got to do\nAnd I need your love now, baby, to help me see it through\nSo you think you can own me, well you'd better just think again\nYou'd better watch your steps now, woman, cause I ain't like those other men\nSo you think you can own me, well you'd better just think again\nYou'd better watch your steps now, woman, cause I ain't like those other men\nThere's something burning inside me that makes me want to be free\nAnd when I get these feelings honey, you better keep away from me\n
